product_name,product_link-href,img-src,komposisi,komposisi_lain,kalori_total,lemak_total,protein,karbohidrat_total,gula,garam
Indomie Ayam Spesial (68g),https://nyemil.com/indomie-ayam-spesial-68g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-ayam-spesial_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), pewarna sintetik tartrazin Cl 19140, antioksidan TBHQ.
Bumbu: Garam, gula, penguat rasa mononatrium glutamat, perisa sintetik ayam (mengandung kedelai), bawang putih bubuk, lada bubuk, dan vitamin (A, B1, B6, B12, Niasin, Asam Folat dan Pantotenat).
Cabe bubuk
Minyak: Minyak nabati dan bawang merah.","Alergen:Tepung terigu, kedelai. Mungkin mengandung kacang tanah, udang, ikan, telur, dan susu.",300 kkal,10 g,7 g,44 g,3 g,1180 mg
Indomie Kaldu Ayam (75g),https://nyemil.com/indomie-kaldu-ayam-75g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-kaldu-ayam_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ, dan pewarna sintetik tartrazin Cl 19140.
Bumbu: Garam, gula, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), perisa sintetik ayam (mengandung susu dan kedelai), bawang putih bubuk, lada bubuk, dan vitamin (A, B1, B6, B12, niasin, asam folat, dan pantotenat).
Cabe Bubuk","Alergen:Tepung terigu, susu, kedelai. Mungkin mengandung kacang tanah, udang, ikan, dan telur.",340 kkal,12 g,6 g,50 g,0 g,960 mg
Indomie Soto Lamongan (80g),https://nyemil.com/indomie-soto-lamongan-80g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Soto-Lamongan-80g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ, dan pewarna sintetik tartrazin Cl 19140.
Bumbu: Garam, gula, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), bawang putih bubuk, daun bawang, perisa sintetik ayam (mengandung telur dan susu), bawang merah bubuk, ekstrak ragi (mengandung kedelai), dan vitamin (A, B1, B6, B12, Niasin, Asam Fosfat dan Pantotenat).
Minyak: Minyak nabati dan bumbu soto (2.3%).
Sambal soto (5%): Air, cabai, gula, rempah rempah, garam, pengental nabati, pengatur keasaman, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), pengawet (natrium benzoat dan natrium metabisulfit).
Serbuk koya gurih (5.6%): (Mengandung tepung terigu dan pewarna alami karamel I).","Alergen:Tepung terigu, telur, susu, kedelai. Mungkin mengandung kacang tanah, udang, dan ikan.",360 kkal,14 g,10 g,48 g,4 g,1030 mg
Indomie Mi Goreng Ayam Pop (85g),https://nyemil.com/indomie-mi-goreng-ayam-pop-85g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Mi-Goreng-Ayam-Pop-85g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, pati termodifikasi, penstabil (nabati dan fosfat), garam, mineral (zat besi), pengatur keasaman, antioksidan TBHQ dan pewarna sintetik tartrazin Cl 19140.
Bumbu: Gula, garam, penguat rasa (monosodium glutamat, dinatrium inosinat dan guanilat), potongan cabe, perisa sintetik ayam pop (mengandung kedelai, telur, susu, pewarna alami beta-karoten Cl 40800, antioksidan alfa tokoferol dan asam askorbat) dan vitamin (A, B1, B6, B12, Niasin, Asam Folat dan pantotenat)
Minyak Bumbu: Minyak nabati dan bumbu ayam pop (2,3%)","Alergen:Tepung terigu, kedelai, telur, susu. Mungkin mengandung kacang tanah, udang, dan ikan.",380 kkal,15 g,7 g,55 g,6 g,950 mg
Indomie Mi Keriting Goreng Spesial (90g),https://nyemil.com/indomie-mi-keriting-goreng-spesial-90g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Mi-Keriting-Goreng-Spesial-90g_fi.jpg,"Mi: Tepung terigu, minyak nabati, gluten, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ dan pewarna sintetik tartrazin Cl 19140.
Bumbu: Gula, garam, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), bawang putih bubuk, bawang merah bubuk, perisa sintetik ayam, bubuk lada dan vitamin (A, B1, B6, B12, niasin, asam folat dan asam pantotenat).
Minyak: Minyak nabati dan bawang merah.
Kecap Manis: Gula, air, kedelai, gandum, garam, rempah-rempah, minyak nabati (mengandung wijen).
Saus Cabe: Cabai, air, gula, garam, pengental, pengatur keasaman, rempah-rempah, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), perisa (alami dan sintetik), pengawet (natrium benzoat, natrium metabisulfit).
Pelengkap: Baso ayam dan sayuran kering.","Alergen:Tepung terigu, glutem kedelai, gandum. Mungkin mengandung kacang tanah, udang, ikan, telur, dan susu.",400 kkal,15 g,10 g,56 g,16 g,1180 mg
Indomie Soto Banjar Limau Kuit (75g),https://nyemil.com/indomie-soto-banjar-limau-kuit-75g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Soto-Banjar-Limau-Kuit-75g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, pengatur keasaman, penstabil (nabati dan fosfat), mineral (zat besi), antioksidan TBHQ, dan pewarna sintetik tartrazin CI 19140.
Bumbu: Garam, gula, penguat rasa (mononatrium glutamat, dinatrium inosnat dan guanilat), perisa sintetik ayam, lada bubuk, rempah-rempah dan vitamin (A, B1, B6, B12, niasin, asam folat, pantotenat).
Cabe bubuk
Minyak: Minyak nabati dan bumbu soto banjar limau kuit (2,3%)
Kecap manis: Gula, air, kedelai & gandum, garam, rempah-rempah, minyak nabati (mengandung wijen).
Bawang goreng (mengandung antioksidan TBHQ)
Pelengkap: Sayuran kering (TVP dan daun bawang)","Alergen:Tepung terigu, kedelai, gandum TVP. Mungkin mengandung kacang tanah, udang, ikan, telur, dan susu.",340 kkal,14 g,7 g,45 g,4 g,1050 mg
Carnation Krimer Kental Manis (370g),https://nyemil.com/carnation-krimer-kental-manis-370g/,https://nyemil.com/wp-content/uploads/2023/10/Carnation-Krimer-Kental-Manis-370g_fi.jpg,"Gula, Air, Minyak Nabati, Padatan Susu (susu bubuk skim, bubuk whey, laktosa), Pengental Nabati, 2 Mineral, Pengatur Keasaman, 3 Vitamin (mengandung antioksidan tokoferol).","Alergen:Susu, whey, laktosa.",1275.9 kkal,38.3 g,12.8 g,216.9 g,204.1 g,510.3 mg
You C1000 Mango (140ml),https://nyemil.com/you-c1000-mango-140ml/,https://nyemil.com/wp-content/uploads/2023/10/You-C1000-Mango-140ml_fi.jpg,"Gula, Fruktosa, Sari buah kurang 10% yang berasal dari jus buah mango segar, Vitamin C (ascorbic acid, sodium ascorbate), Niacin (Niacinamide), Mango flavour, Pengatur keasaman, Beta carotene, dan Air sampai dengan 140 ml.",,80 kkal,0 g,0 g,20 g,20 g,55 mg
You C1000 Apple (140ml),https://nyemil.com/you-c1000-apple-140ml/,https://nyemil.com/wp-content/uploads/2023/10/You-C1000-Apple-140ml_fi.jpg,"Gula, Fruktosa, Sari buah kurang 10% yang berasal dari jus buah apel segar, Vitamin C (ascorbic acid, sodium ascorbate), Niacin (Niacinamide), Apple flavour, Pengatur keasaman, Pewarna Caramel, dan Air sampai dengan 140 ml.",,60 kkal,0 g,0 g,14 g,14 g,45 mg
You C1000 Lemon (140ml),https://nyemil.com/you-c1000-lemon-140ml/,https://nyemil.com/wp-content/uploads/2023/10/You-C1000-Lemon-140ml_fi.jpg,"Gula, Fruktosa, Sari buah kurang 10% yang berasal dari jus buah lemon segar, Vitamin C (ascorbic acid, sodium ascorbate), Vitamin B1 (dibenzoil thiamine HCL), Vitamin E (d-α tocopherol dari kedelai), Niacin (Niacinamide), Lemon flavour, Pengatur keasaman, Pewarna kuning benibana (safflower), dan Air sampai dengan 140 ml.",,70 kkal,0 g,0 g,16 g,16 g,100 mg
You C1000 Orange (140ml),https://nyemil.com/you-c1000-orange-140ml/,https://nyemil.com/wp-content/uploads/2023/10/You-C1000-Orange-140ml_fi.jpg,"Gula, Fruktosa, Sari buah kurang 10% yang berasal dari jus buah orange segar, Vitamin C (ascorbic acid, sodium ascorbate), Vitamin E (d-α tocopherol dari kedelai), Niacin (Niacinamide), Orange flavour, Pengatur keasaman, Beta carotene, dan Air sampai dengan 140 ml.",,80 kkal,0 g,0 g,20 g,20 g,60 mg
Pocari Sweat (330ml),https://nyemil.com/pocari-sweat-330ml/,https://nyemil.com/wp-content/uploads/2023/10/Pocari-Sweat-330ml_fi.jpg,"Air, Gula, Pengatur keasaman, Natrium klorida, Kalium klorida, Kalsium laktat, Magnesium karbonat, Perisa sintetik, Antioksidan asam askorbat, jus sitrus. Tanpa pengawet dan pemanis buatan.",,80 kkal,0 g,0 g,20 g,19 g,160 mg
Pocari Sweat (500ml),https://nyemil.com/pocari-sweat-500ml/,https://nyemil.com/wp-content/uploads/2023/10/Pocari-Sweat-500ml_fi.jpg,"Air, Gula, Pengatur keasaman, Natrium klorida, Kalium klorida, Kalsium Laktat, Magnesium Karbonat, Antioksidan asam askorbat, Perisa sintetik dan perisa alami sitrus.",,140 kkal,0 g,0 g,34 g,28 g,240 mg
Kin Susu Steril Air Kelapa (200ml),https://nyemil.com/kin-susu-steril-air-kelapa-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Kin-Susu-Steril-Air-Kelapa-200ml_fi.jpg,"Susu segar (60%), Air kelapa (20%), Air, Polidektrosa, Gula, Penstabil nabati dan penstabil fosfat, Pengemulsi nabati, Perisa sintetik kelapa, Premiks vitamin.",Alergen:Susu segar,100 kkal,5 g,4 g,10 g,8 g,55 mg
Hydro Coco Original (250ml),https://nyemil.com/hydro-coco-original-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Hydro-Coco-Original-250ml_fi.jpg,"Air kelapa (97%), Gula tebu, Perisa sintetik, Penstabil nabati, Pengatur keasaman. Tanpa pengawet dan tanpa pemanis buatan.",,60 kkal,0 g,0 g,15 g,7 g,105 mg
Roma Cream Crackers (135g),https://nyemil.com/roma-cream-crackers-135g/,https://nyemil.com/wp-content/uploads/2023/10/Roma-Cream-Crackers-135g_fi.jpg,"Tepung terigu (60.66%), Minyak nabati (mengandung antioksidan BHA), Tepung tapioka, Sirup glukosa, Susu bubuk (2.13%), Ragi, Mentega, Ekstrak Malt (1.48%), Garam, Gula, Pengembang, Premiks vitamin (B1, B2, B6, B12).","Alergen:Tepung terigu, mentega.",650 kkal,22.5 g,10 g,90 g,10 g,800 mg
Energen Jagung (29g),https://nyemil.com/energen-jagung-29g/,https://nyemil.com/wp-content/uploads/2023/10/Energen-Jagung-29g_fi.jpg,"Gula, Krimer Nabati, Tepung Terigu (10.82%), Susu Bubuk (5.76%), Buah Kering (jagung manis) (3.1%), Jagung, Oat, Kalsium Karbonat, Perisa Sintetik, Garam, Pengemulsi Nabati (Lesitin kedelai), Premiks Vitamin (A, B1, B2, B6, asam folat, B12, D dan E), Natrium Askorbat (Vitamin C), Telur Bubuk (0.01%), Ekstrak Malt.","Alergen:Tepung terigu, susu bubuk, oat, telur bubuk, ekstrak malt.",130 kkal,3 g,1 g,24 g,17 g,130 mg
Energen Cokelat (34g),https://nyemil.com/energen-cokelat-34g/,https://nyemil.com/wp-content/uploads/2023/10/Energen-Cokelat-34g_fi.jpg,"Gula, krimer nabati, tepung terigu (8,98%), susu bubuk (8,82%), kakao bubuk (4,89%), jagung, oat, kalsium karbonat, garam, pengemulsi nabati (lesitin kedelai), premiks vitamin (A, B1, B2, B6, asam folat, B12, D, dan E), natrium askorbat (vitamin C), telur bubuk (0,01%), ekstrak malt.","Alergen:Tepung terigu, susu bubuk, oat, telur bubuk, ekstrak malt.",150 kkal,3.5 g,2 g,27 g,18 g,160 mg
Energen Kacang Hijau (35g),https://nyemil.com/energen-kacang-hijau-35g/,https://nyemil.com/wp-content/uploads/2023/10/Energen-Kacang-Hijau-35g_fi.jpg,"Gula, Krimer Nabati, Kacang Hijau (14.28%), Tepung terigu (8.2%), Susu Bubuk (7.95%), Jagung, Oat, Kalsium Karbonat, Garam, Pengemulsi Nabati (Lesitin kedelai), Perisa Sintetik, Premiks Vitamin ( A, B1, B2, B6, asam folat, B12, D dan E), Natrium Askorbat (Vitamin C), Telur Bubuk (0.01%), Ekstrak Malt.","Alergen:Tepung terigu, susu bubuk, oat, telur bubuk, ekstrak malt.",150 kkal,3.5 g,3 g,27 g,16 g,160 mg
Energen Vanila (32g),https://nyemil.com/energen-vanila-32g/,https://nyemil.com/wp-content/uploads/2023/10/Energen-Vanila-32g_fi.jpg,"Gula, krimer nabati, tepung terigu (9,63%), susu bubuk (9,5%), jagung, oat, kalsium karbonat, garam, pengemulsi nabati (lesitin kedelai), premiks vitamin (A, B1, B2, B6, asam folat, B12, D, dan E), vanili (0,05%), natrium askorbat (vitamin C), telur bubuk (0,01%), ekstrak malt.","Alergen:Tepung terigu, susu bubuk, oat, telur bubuk, ekstrak malt.",140 kkal,4 g,2 g,25 g,15 g,150 mg
Energen Kurma (30g),https://nyemil.com/energen-kurma-30g/,https://nyemil.com/wp-content/uploads/2023/10/Energen-Kurma-30g_fi.jpg,"Gula, Susu Bubuk (28,7%), Krimer Nabati, Tepung terigu (9,55%), Jagung, Perisa Sintetik, Oat, Pewarna alami karamel kelas I dan III, Kalsium Karbonat, Garam, Kurma (0,1%), Pengemulsi (Lesitin kedelai), Premiks Vitamin ( A, B1, B2, B6, asam folat, B12, D dan E), Telur Bubuk (0,01%), Ekstrak Malt.","Alergen:Susu bubuk, tepung terigu, oat, telur bubuk, ekstrak malt.",130 kkal,3.5 g,1 g,24 g,15 g,110 mg
Sari Kue Dorayaki Chocolate (55g),https://nyemil.com/sari-kue-dorayaki-chocolate-55g/,https://nyemil.com/wp-content/uploads/2023/10/Sari-Kue-Dorayaki-Chocolate-55g_fi.jpg,"Telur, Gula pasir, Tepung terigu (mengandung gluten), Saus cokelat (mengandung kakao bubuk 1.6 %, pengawet kalium sorbat, antioksidan tokoferol), Pengemulsi (mengandung susu, telur, pengawet kalium sorbat), Air, Minyak nabati, Madu, Pengawet kalium sorbat.","Alergen:Telur, tepung terigu, susu.",170 kkal,3.5 g,4 g,32 g,18 g,115 mg
You C1000 Orange Water (500ml),https://nyemil.com/you-c1000-orange-water-500ml/,https://nyemil.com/wp-content/uploads/2023/10/you-c100-orange-water_fi.jpg,"Vitamin C 1000 mg (Ascorbic Acid, Sodium Ascorbate), 100% Jus Buah Orange Segar (Citrus Unshiu) 7.2 g, Natrium Klorida 5 mg, Kalsium Laktat 83 mg, Magnesium Klorida 25 mg, Kalium Fosfat 5mg, Fruktosa, Gula, Orange Flavour, Beta-Carotene, Pengatur Keasaman dan Air sampai dengan 500 ml.",,160 kkal,0 g,0 g,40 g,40 g,60 mg
Tujuh Kurma Susu Steril Kurma (189ml),https://nyemil.com/tujuh-kurma-susu-steril-kurma-189ml/,https://nyemil.com/wp-content/uploads/2023/10/Tujuh-Kurma-Susu-Steril-Kurma-189ml_fi.jpg,"Susu sapi rekombinasi (53.26%), Air, Gula, Buah kurma, Penstabil nabati, Penstabil, Pengemulsi, Perisa sintetik.",Alergen:Susu sapi rekombinasi,160 kkal,6 g,6 g,22 g,19 g,140 mg
Pocari Sweat (350ml),https://nyemil.com/pocari-sweat-350ml/,https://nyemil.com/wp-content/uploads/2023/10/Pocari-Sweat-350ml_fi.jpg,"Air, Gula, Pengatur keasaman, Natrium klorida, Kalium klorida, Kalsium Laktat, Magnesium Karbonat, Perisa sintetik, Jus sitrus, dan Antioksidan asam askorbat. Tanpa pengawet dan pemanis buatan.",,84 kkal,0 g,0 g,21 g,19.6 g,168 mg
Pocari Sweat (900ml),https://nyemil.com/pocari-sweat-900ml/,https://nyemil.com/wp-content/uploads/2023/10/Pocari-Sweat-900ml_fi.jpg,"Air, Gula, Pengatur keasaman, Natrium klorida, Kalium klorida, Kalsium Laktat, Magnesium Karbonat, Perisa sintetik, Jus sitrus, dan Antioksidan asam askorbat. Tanpa pengawet dan pemanis buatan.",,216 kkal,0 g,0 g,54 g,50.4 g,432 mg
Frisian Flag Low Fat Californian Strawberry (225ml),https://nyemil.com/frisian-flag-low-fat-californian-strawberry-225ml/,https://nyemil.com/wp-content/uploads/2023/10/Frisian-Flag-Low-Fat-Californian-Strawberry-225ml_fi.jpg,"Air, Susu (Segar (25%), Skim Bubuk, Bubuk Whey) (32%), Sukrosa, Fruktosa, Penstabil Nabati, Perisa Sintetik (mengandung antioksidan asam askorbat), Perisa Alami, Kalsium Susu, 2 Mineral, Ekstrak Buah Stroberi (0.01% ), 9 Vitamin (mengandung antioksidan tokoferol), Pewarna Sintetik Ponceau 4R CI 16255.","Alergen:Susu segar, skim bubuk, bubuk whey.",130 kkal,2.5 g,6 g,21 g,21 g,90 mg
Frisian Flag Low Fat French Vanilla (225ml),https://nyemil.com/frisian-flag-low-fat-french-vanilla-225ml/,https://nyemil.com/wp-content/uploads/2023/10/Frisian-Flag-Low-Fat-French-Vanilla-225ml_fi.jpg,"Air, Susu (Segar (25%), Skim Bubuk, Bubuk Whey) (32%), Sukrosa, Penstabil Nabati, Perisa Alami, Kalsium Susu, Perisa Sintetik (mengandung antioksidan asam askorbat), 9 Vitamin (mengandung antioksidan tokoferol), 1 Mineral.","Alergen:Susu segar, skim bubuk, bubuk whey.",110 kkal,2.5 g,6 g,16 g,16 g,90 mg
Sari Roti Tawar Kupas (200g),https://nyemil.com/sari-roti-tawar-kupas-200g/,https://nyemil.com/wp-content/uploads/2023/10/Sari-Roti-Tawar-Kupas-200g_fi.jpg,"Tepung terigu (mengandung gluten), air, gula pasir, lemak reroti (mengandung antioksidan askorbil palmitat dan tokoferol campuran pekat), ragi, premiks roti (mengandung susu lemak nabati 0,58%, pengawet kalsium propionat, antioksidan asam askorbat), garam, penstabil.","Alergen:Tepung terigu, susu lemak nabati. Mungkin mengandung telur.",500 kkal,7.5 g,20 g,90 g,5 g,900 mg
Pocky Chocolate (47g),https://nyemil.com/pocky-chocolate-47g/,https://nyemil.com/wp-content/uploads/2023/10/Pocky-Chocolate-47g_fi.jpg,"Cokelat Hitam Compound (Mengandung Kakao Bubuk (8%), Susu Skim Bubuk), Tepung Terigu, Gula, Pengental (Dipati Fosfat (1412)), Lemak Reroti (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Tepung Gandum Utuh, Susu Bubuk, Ekstrak Malt, Garam, Perisa Sintetik (Mentega (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Susu), Pengembang (Natrium Hidrogen Karbonat (500(ii))), Ragi.","Alergen:Susu skim bubuk, tepung terigu, tepung gandum utuh, susu bubuk, ekstrak malt. Mungkin mengandung kedelai, barley, rye, dan oat.",235 kkal,8.5 g,4.3 g,34.2 g,15 g,96.1 mg
Pocky Double Choco (47g),https://nyemil.com/pocky-double-choco-47g/,https://nyemil.com/wp-content/uploads/2023/10/Pocky-Double-Choco-47g_fi.jpg,"Cokelat Hitam Compound (Mengandung Kakao Bubuk (7%), Susu Skim Bubuk), Tepung Terigu, Gula, Pengental (Dipati Fosfat (1412)), Kakao Bubuk (3%), Lemak Reroti (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Tepung Gandum Utuh, Susu Bubuk, Perisa Sintetik (Susu, Cokelat, Vanila, Mentega (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b)))), Garam, Ragi, Pengembang (Natrium Hidrogen Karbonat (500(ii))).","Alergen:Susu Skim Bubuk, Tepung Terigu, Tepung Gandum Utuh, Susu Bubuk. Diproduksi menggunakan peralatan yang juga memproses Barley, Rye, Oat, Kacang, dan Almond.",245.2 kkal,10.2 g,2 g,32.7 g,14.3 g,71.5 mg
Pocky Milky Matcha (33g),https://nyemil.com/pocky-milky-matcha-33g/,https://nyemil.com/wp-content/uploads/2023/10/Pocky-Milky-Matcha-33g_fi.jpg,"Cokelat Compound Putih (Mengandung Susu Bubuk), Tepung Terigu, Gula, Pengental (Dipati Fosfat (1412)), Lemak Reroti (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Tepung Gandum Utuh, Susu Bubuk (1%), Teh Hijau Bubuk (1%), Ekstrak Malt, Perisa Sintetik (Susu, Teh Hijau (0.13%), Mentega (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Garam, Pengembang (Natrium Hidrogen Karbonat (500(ii))), Ragi, Pengemulsi (Lesitin Kedelai), Pewarna Alami (Beta-Karoten (Sayuran) CI. No 75130), Pewarna Sintetik (Biru Berlian FCF (CI.42090).","Alergen:Susu Bubuk, Tepung Terigu, Tepung Gandum Utuh, Ekstrak Malt. Mungkin mengandung Kedelai, Barley, Rye, dan Oat. Diproduksi menggunakan peralatan yang juga memproses Almond.",183.6 kkal,7.2 g,2.1 g,22.7 g,10.3 g,61.9 mg
Milo (180ml),https://nyemil.com/milo-180ml/,https://nyemil.com/wp-content/uploads/2023/10/Milo-180ml_fi.jpg,"Air, padatan susu sapi 9%, sukrosa, ekstrak malt (barli) 2%, minyak nabati, bubuk kakao 0.75%, 5 mineral, penstabil nabati, premiks vitamin, pengemulsi nabati, perisa alami.",Alergen:Susu dan Barli,110 kkal,3.5 g,3 g,17 g,15 g,105 mg
Cimory Fresh Milk Cashew (250ml),https://nyemil.com/cimory-fresh-milk-cashew-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Cimory-Fresh-Milk-Cashew-250ml_fi.jpg,"Air, susu sapi segar (20%), gula, susu bubuk full cream, padatan susu, susu skim bubuk, kakao bubuk, penstabil (nabati, natrium sitrat), premiks vitamin, bubuk kacang mede (0.05%), perisa sintetik kacang mede.","Alergen:Susu sapi segar, susu bubuk full cream, padatan susu, susu skim bubuk, dan bubuk kacang mede.",220 kkal,7 g,6 g,32 g,20 g,130 mg
Cimory Fresh Milk Blueberry (250ml),https://nyemil.com/cimory-fresh-milk-blueberry-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Cimory-Fresh-Milk-Blueberry-250ml_fi.jpg,"Air, susu sapi segar (20%), susu bubuk full cream, gula, padatan susu, susu skim bubuk, penstabil (nabati, natrium sitrat), sari buah blueberry (0.1%), perisa sintetik blueberry, premiks vitamin, pewarna alami antosianin.","Alergen:Susu sapi segar, susu bubuk full cream, padatan susu, dan susu skim bubuk.",200 kkal,6.3 g,6.3 g,27.5 g,18.8 g,137.5 mg
Cimory Fresh Milk Strawberry (250ml),https://nyemil.com/cimory-fresh-milk-strawberry-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Cimory-Fresh-Milk-Strawberry-250ml_fi.jpg,"Air, susu sapi segar (20%), susu bubuk full cream, gula, padatan susu, susu skim bubuk, penstabil (nabati, natrium sitrat), sari buah stroberi 0.1% (mengandung puree stroberi 15%), premiks vitamin, perisa sintetik stroberi, pewarna alami karmin Cl. No. 75470.","Alergen:Susu sapi segar, susu bubuk full cream, padatan susu, dan susu skim bubuk.",200 kkal,6.3 g,6.3 g,27.5 g,18.8 g,137.5 mg
Cimory Fresh Milk Almond (250ml),https://nyemil.com/cimory-fresh-milk-almond-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Cimory-Fresh-Milk-Almond-250ml_fi.jpg,"Air, susu sapl segar (20%), gula, susu bubuk full cream, padatan susu, susu skim bubuk, kakao bubuk, penstabil (nabati, natrium sitrat), premiks vitamin, kacang almond bubuk (0.05%), perisa sintetik kacang almond.","Alergen:Susu sapi segar, susu bubuk full cream, padatan susu, susu skim bubuk, kacang almond bubuk.",220 kkal,7 g,6 g,32 g,20 g,130 mg
Cimory Fresh Milk Choco Malt (250ml),https://nyemil.com/cimory-fresh-milk-choco-malt-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Cimory-Fresh-Milk-Choco-Malt-250ml_fi.jpg,"Air, susu sapi segar (20%), gula, susu bubuk full cream, padatan susu, susu skim bubuk, kakao bubuk, penstabil (nabati, natrium sitrat), ekstrak malt (0.25%), perisa sintetik malt, premiks vitamin.","Alergen:Susu sapi segar, susu bubuk full cream, padatan susu, susu skim bubuk, dan ekstrak malt.",220 kkal,7 g,6 g,32 g,20 g,130 mg
Frisian Flag Milky Cokelat (180ml),https://nyemil.com/frisian-flag-milky-cokelat-180ml/,https://nyemil.com/wp-content/uploads/2023/10/Frisian-Flag-Milky-Cokelat-180ml_fi.jpg,"Susu (Segar (46%), Skim Bubuk, Bubuk Whey, Lemak Susu) (48%), Air, Sukrosa, Kakao Bubuk (0.6%), Penstabil Nabati, 3 Mineral, Perisa Sintetik (mengandung antioksidan asam askorbat dan pewarna alami karamel IV), 7 Vitamin (mengandung antioksidan tokoferol).","Alergen:Susu Segar, Skim Bubuk, Bubuk Whey, dan Lemak Susu.",120 kkal,4.5 g,4 g,15 g,14 g,80 mg
Oatside Coffee (200ml),https://nyemil.com/oatside-coffee-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Oatside-Coffee-200ml_fi.jpg,"Oat Base (Air, Oat Bubuk (10%)), Minyak Kanola, Gula Aren, Gula, Ekstrak Kopi (1%), Penstabil Fosfat, Kalsium Karbonat, Perisa Kopi Alami, Garam.",Alergen:Oat Bubuk,150 kkal,7 g,1 g,21 g,12 g,90 mg
Oatside Barista Blend (200ml),https://nyemil.com/oatside-barista-blend-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Oatside-Barista-Blend-200ml_fi.jpg,"Air, Oat Bubuk (10%), Minyak Kanola, Penstabil Fosfat, Penstabil Kalsium Karbonat, Garam.",Alergen:Oat Bubuk,130 kkal,6 g,1 g,16 g,6 g,95 mg
Oatside Chocolate (200ml),https://nyemil.com/oatside-chocolate-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Oatside-Chocolate-200ml_fi.jpg,"Oat Base (Air, Oat (10%)), Kakao Bubuk 2%, Minyak Kanola, Gula Aren, Pengatur Keasaman Kalsium Karbonat, Garam.",Alergen:Oat,170 kkal,6 g,3 g,25 g,10 g,90 mg
Biokul Yogurt Strawberry (80ml),https://nyemil.com/biokul-yogurt-strawberry-80ml/,https://nyemil.com/wp-content/uploads/2023/10/Biokul-Yogurt-Strawberry-80ml_fi.jpg,"Air, Susu Sapi (25%), Susu Skim Bubuk, Konsentrat Susu, Gula, Buah Stroberi (5.5%), Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Pengatur Keasaman Asam Sitrat, Perisa Sintetik Stroberi, Kultur Yogurt (S. thermophilus, L. bulgaricus, L. acidophilus, Bifidobacterium), Pewarna Sintetik (Karmoisin CI No. 14720).","Alergen:Susu sapi, Susu Skim Bubuk, dan Konsentrat Susu.",70 kkal,0.5 g,4 g,13 g,7 g,50 mg
Indomilk Korean Banana (180ml),https://nyemil.com/indomilk-korean-banana-180ml/,https://nyemil.com/wp-content/uploads/2023/10/Indomilk-Korean-Banana-180ml_fi.jpg,"Susu sapi segar (50%), air, gula, susu skim bubuk (5%), lemak susu, penstabil, perisa sintetik, ekstrak pisang (0.05%), pewarna makanan alami (kurkumin CI 75300).","Alergen:Susu sapi segar, susu skim bubuk, dan lemak susu.",150 kkal,4.5 g,5 g,22 g,17 g,95 mg
