product_name,product_link-href,img-src,komposisi,komposisi_lain,kalori_total,lemak_total,protein,karbohidrat_total,gula,garam
Indomie Soto Spesial (75g),https://nyemil.com/indomie-soto-spesial-75g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Soto-Spesial-75g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, pengatur keasman, penstabil (nabati dan fosfat), mineral (zat besi), antioksidan TBHQ dan pewarna sintetik tartrazin CI 19140
Bumbu: Garam, gula, penguat rasa nononatrium glutamat, perisa sintetik ayam (mengandung susu dan kedelai), bawang putih bubuk, bawang merah bubuk, lada bubuk, daun bawang dan vitamin (A, B1, B6, B12, Niasin, Asam Folat dan Pantotenat).
Cabe bubuk
Minyak: Minyak nabati dan bumbu soto (0,6%).
Pelengkap: Serbuk koya gurih (4,7%) (mengandung pewarna alami karamel I).","Alergen:Tepung terigu, susu, kedelai. Mungkin mengandung kacang tanah, udang, ikan dan telur.",330 kkal,14 g,7 g,44 g,2 g,920 mg
Indomie Empal Gentong (75g),https://nyemil.com/indomie-empal-gentong-75g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Empal-Gentong-75g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ dan pewarna sintetik tartrazin CI 19140.
Bumbu: Garam, gula, penguat rasa mononatrium glutamat, perisa sintetik sapi (mengandung susu), bawang putih bubuk, bawang merah bubuk, lada bubuk dan vitamin (A, B1, B6, B12, Niasin, Asam Folat, Pantotenat).
Cabe bubuk
Minyak: Minyak nabati dan bumbu empal gentong (1,6%).
Bawang goreng (Mengandung antioksidan TBHQ)
Pelengkap: Sayuran kering (mengandung kedelai).","Alergen:Tepung terigu, susu, kedelai. Mungkin mengandung kacang tanah, udang, dan telur.",330 kkal,12 g,8 g,47 g,5 g,1150 mg
Indomie Ayam Bawang (69g),https://nyemil.com/indomie-ayam-bawang-69g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Ayam-Bawang-69g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ dan pewarna sintetik Tartrazin CI 19140.
Bumbu: Garam, gula, penguat rasa mononatrium glutamat, perisa sintetik ayam (mengandung telur, kedelai, penguat rasa dinatrium inosinat dan guanilat), bawang putih bubuk (0.4%), perisa sintetik bawang bombay (mengandung kacang tanah, penguat rasa dinatrium inosinat dan guanilat, pewarna alami karamel I), lada bubuk, daun bawang (0.1%) dan vitamin (A, B1, B6, B12, Niasin, Asam Folat dan Pantotenat).
Cabe bubuk
Minyak: Minyak nabati dan bawang merah (0.5%).","Alergen:Tepung terigu, telur, kedelai, kacang tanah. Mungkin mengandung udang, ikan dan susu.",300 kkal,11 g,7 g,43 g,3 g,1330 mg
Ultra Milk Full Cream (200ml),https://nyemil.com/ultra-milk-full-cream-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Ultra-Milk-Full-Cream-200ml_fi.jpg,Susu sapi segar (100%). Tanpa pengawet.,Alergen:Susu sapi segar,120 kkal,6 g,6 g,10 g,8 g,40 mg
Ultra Milk Karamel (200ml),https://nyemil.com/ultra-milk-karamel-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Ultra-Milk-Karamel-200ml_fi.jpg,"Susu sapi segar, sukrosa, susu skim bubuk, perisa sintetik karamel (mengandung antioksidan asam askorbat), penstabil nabati, pewarna alami kelas IV, garam. Tanpa pengawet, tanpa pemanis buatan, tanpa pewarna sintetik.",,150 kkal,5 g,6 g,19 g,11 g,85 mg
Ultra Milk Moka (250ml),https://nyemil.com/ultra-milk-moka-250ml/,https://nyemil.com/wp-content/uploads/2023/10/Ultra-Milk-Moka-250ml_fi.jpg,"Susu sapi segar, sukrosa, susu skim bubuk, penstabil nabati, perisa sintetik moka (mengandung pewarna alami karamel kelas III), kopi bubuk, pewarna alami kelas IV, perisa sintetik vanila. Tanpa pengawet, tanpa pemanis buatan, tanpa pewarna sintetik.",,175 kkal,4.4 g,8.8 g,26.3 g,16.3 g,68.8 mg
Indomilk Swiss Choco (37g),https://nyemil.com/indomilk-swiss-choco-37g/,https://nyemil.com/wp-content/uploads/2023/10/Indomilk-Swiss-Choco-37g_fi.jpg,"Gula, Air, Whey bubuk (10,68%), Minyak nabati, Kakao bubuk (3,4%), Susu skim bubuk (2,76%), Maltodekstrin, Penstabil nabati, Perisa Sintetik (mengandung antioksidan tokoferol), Laktosa, Vitamin A dan D3 (mengandung antioksidan dl alfa tokoferol), Vitamin B1.","Alergen:Whey bubuk, susu skim bubuk, laktosa.",120 kkal,3.5 g,1 g,22 g,18 g,25 mg
Indomilk Stroberi (190ml),https://nyemil.com/indomilk-stroberi-190ml/,https://nyemil.com/wp-content/uploads/2023/10/Indomilk-Stroberi-190ml_fi.jpg,"Air, Susu sapi, Gula, Susu skim bubuk, Susu full cream bubuk, Penstabil nabati, Perisa sintetik, Lemak susu, Pewarna makanan sintetik (ponceau 4R CI 16255, karmoisin CI 14720), Vitamin A dan D3 (mengandung antioksidan dl alfa tokoferol), B6, B1.","Alergen:Susu sapi, susu skim bubuk, susu full cream bubuk, lemak susu.",120 kkal,4 g,4 g,18 g,19 g,75 mg
Indomilk Cavendish Premium Banana (180ml),https://nyemil.com/indomilk-cavendish-premium-banana-180ml/,https://nyemil.com/wp-content/uploads/2023/10/Indomilk-Cavendish-Premium-Banana-180ml_fi.jpg,"Susu sapi segar (50%), air, gula, susu skim bubuk (5%), lemak susu, penstabil, perisa sintetik, ekstrak pisang (0.05%), pewarna makanan alami (kurkumin CI 75300).","Alergen:Susu sapi segar, susu skim bubuk, lemak susu.",150 kkal,4.5 g,5 g,22 g,17 g,95 mg
Indomilk Java Criollo Premium Chocolate (180ml),https://nyemil.com/indomilk-java-criollo-premium-chocolate-180ml/,https://nyemil.com/wp-content/uploads/2023/10/Indomilk-Java-Criollo-Premium-Chocolate-180ml_fi.jpg,"Susu sapi segar (50%), Air, Gula, Susu skim bubuk (4,5%), Kakao bubuk (0,8%), Lemak susu anhidrat, Penstabil nabati, Perisa sintetik, Perisa alami","Alergen:Susu sapi segar, susu skim bubuk, lemak susu anhidrat",140 kkal,4.5 g,6 g,20 g,17 g,100 mg
