scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-1,https://www.fatsecret.co.id/kalori-gizi/search?q=Ultra Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/walnut-milk/1-porsi,137 Degrees,Walnut Milk,1 porsi (180 ml),60_kkal,"5,00g","0,500g","0,000g",0,"1,00g",0,"0,0g","0,00g",20mg,0,0,0
1715569705-2,https://www.fatsecret.co.id/kalori-gizi/search?q=Ultra Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/pistachio-milk/1-porsi,137 Degrees,Pistachio Milk,1 porsi (180 ml),45_kkal,"3,00g","0,500g",0,0,"1,00g",0,0,"1,00g",15mg,0,0,0
1715569705-3,https://www.fatsecret.co.id/kalori-gizi/search?q=Acaii Tea,https://www.fatsecret.co.id/kalori-gizi/137-degrees/matcha-green-tea-latte-with-walnut-milk/1-porsi,137 Degrees,Matcha Green Tea Latte with Walnut Milk,1 porsi (180 ml),60_kkal,"5,00g","0,500g",0,0,"1,00g",0,0,"1,00g",15mg,0,0,0
1715569705-4,https://www.fatsecret.co.id/kalori-gizi/search?q=Original Love Juice,https://www.fatsecret.co.id/kalori-gizi/137-degrees/almond-milk-original-unsweetened/1-botol,137 Degrees,Almond Milk Original Unsweetened,1 botol (180 ml),100_kkal,"7,00g","2,000g","0,000g",0,"4,00g",0,"0,0g","0,00g",10mg,0mg,0,0
1715569705-5,https://www.fatsecret.co.id/kalori-gizi/search?q=Asia Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/double-belgian-chocolate-with-pistachio-milk/1-botol,137 Degrees,Double Belgian Chocolate with Pistachio Milk,1 botol (180 ml),45_kkal,"3,00g","0,500g",0,0,"1,00g",0,0,0,20mg,0,0,0
1715569705-6,https://www.fatsecret.co.id/kalori-gizi/search?q=Asia Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/iced-coffee-latte-with-almond-milk/1-porsi,137 Degrees,Iced Coffee Latte with Almond Milk,1 porsi (180 ml),80_kkal,"4,50g","1,500g",0,0,"1,00g",0,0,"2,00g",25mg,0,0,0
1715569705-7,https://www.fatsecret.co.id/kalori-gizi/search?q=Ultra Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/almond-milk/1-porsi,137 Degrees,Almond Milk,1 botol (180 ml),70_kkal,"6,00g","0,500g","0,000g",0,"2,00g",0,"0,0g",0,25mg,0,0,0
1715569705-8,0,https://www.fatsecret.co.id/kalori-gizi/4life/nutrastart-coklat/1-porsi,4Life,Nutrastart Coklat,1 porsi (64 g),260 kkal,"4,50g",0,0,"10,00g","46,00g",0,"16,00g",260mg,0,0,0,"3,0g"
1715569705-9,0,https://www.fatsecret.co.id/kalori-gizi/4life/riovida-stix/1-sachet,4Life,Riovida Stix,1 sachet (8 g),30 kkal,"0,00g",0,0,"0,00g","7,00g",0,"4,00g",0mg,0,0,0mg,"0,0g"
1715569705-10,0,https://www.fatsecret.co.id/kalori-gizi/5-days/croissant-creamy-cheese/1-porsi,5 Days,Croissant Creamy Cheese,1 bungkus (60 g),240 kkal,"14,00g",0,0,"0,000g",25mg,0,"26,00g","4,0g",0,230mg,"8,00g","6,00g"
1715569705-11,0,https://www.fatsecret.co.id/kalori-gizi/5-days/croissant-creamy-chocolate/1-piece,5 Days,Croissant Creamy Chocolate,1 piece (60 g),240 kkal,"10,00g",0,0,"6,00g","32,00g",0,"8,00g",260mg,0,0,0mg,"6,0g"
1715569705-12,0,https://www.fatsecret.co.id/kalori-gizi/5-days/mini-croissant/4-buah,5 Days,Mini Croissant,4 buah (64 g),250 kkal,"11,00g",0,0,"3,0g","8,00g",0,0,0,0,0,0,125mg
1715569705-13,0,https://www.fatsecret.co.id/kalori-gizi/5-days/croissant-sweet-mixed-berries/1-piece,5 Days,Croissant Sweet Mixed Berries,1 piece (60 g),120 kkal,"6,00g",0,0,"0,000g",0mg,0,"15,00g","2,0g",0,65mg,"4,00g","2,00g"
1715569705-14,0,https://www.fatsecret.co.id/kalori-gizi/5-days/croissant-sweet-pandan-srikaya/1-porsi,5 Days,Croissant Sweet Pandan Srikaya,1 porsi (30 g),120 kkal,"6,00g",0,0,"14,00g","1,0g",0,50mg,0,0,0,0,"3,00g"
1715569705-15,https://www.fatsecret.co.id/kalori-gizi/search?q=Orchid Butter,https://www.fatsecret.co.id/kalori-gizi/5-days/croissant-creamy-peanut-butter/1-piece,5 Days,Croissant Creamy Peanut Butter,1 piece (60 g),280_kkal,"17,00g",0,0,0,"5,00g",0,"3,0g","6,00g",240mg,0,0,0
1715569705-16,https://www.fatsecret.co.id/kalori-gizi/search?q=A.T.B,https://www.fatsecret.co.id/kalori-gizi/atb/biskuit-marie-susu/5-keping,A.T.B,Biskuit Marie Susu,5 keping (31 g),130_kkal,"4,50g","2,000g","0,000g",0,"2,00g",0,"1,0g","7,00g",75mg,0,0,0
1715569705-17,https://www.fatsecret.co.id/kalori-gizi/search?q=A.T.B,https://www.fatsecret.co.id/kalori-gizi/atb/milk-marie-biscuits/5-keping,A.T.B,Milk Marie Biscuits,5 keping (29 g),130_kkal,"4,00g","2,000g",0,0,"2,00g",0,"1,0g","7,00g",100mg,0,0,0
1715569705-18,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mie-goreng-spesial/1-cangkir,ABC,Mie Goreng Spesial,1 cangkir (80 g),380_kkal,"20,00g","9,000g",0,0,"6,00g",0,"4,0g","7,00g",930mg,0,0,0
1715569705-19,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/squash-delight-jeruk-florida/1-porsi,ABC,Squash Delight Jeruk Florida,1 porsi (29 ml),40_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,0,"9,00g",70mg,0,0,0
1715569705-20,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minuman-asam-jawa/1-kotak,ABC,Minuman Asam Jawa,1 kotak (250 ml),80_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"2,0g","18,00g",55mg,0,0,0
1715569705-21,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minuman-soya/1-porsi,ABC,Minuman Soya,1 porsi (200 ml),100_kkal,"1,50g",0,0,0,"5,00g",0,0,"8,00g",150mg,0,0,0
1715569705-22,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/terasi-udang/1-porsi,ABC,Terasi Udang,1 porsi (4 g),5_kkal,"0,00g","0,000g",0,0,"1,00g",0,0,"0,00g",440mg,0,0,0
1715569705-23,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-inggris/100ml,ABC,Kecap Inggris,100 ml,77_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","10,00g",980mg,800mg,0,0
1715569705-24,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-dalam-saus-tomat/1-kaleng-kecil,ABC,Sardines Dalam Saus Tomat,1 kaleng kecil (50 g),90_kkal,"3,50g","1,500g","0,000g",0,"11,00g",0,0,"1,00g",105mg,0,0,0
1715569705-25,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/saus-sambal/1-sdm,ABC,Saus Sambal,1 sendok (15 g),20_kkal,"0,00g",0,0,0,"0,00g",0,0,"3,00g",330mg,0,0,0
1715569705-26,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-asin/1-sajian,ABC,Kecap Asin,	1 sdm (15 ml),5_kkal,"0,00g","0,000g",0,0,"1,00g",0,0,"0,00g",830mg,0,0,0
1715569705-27,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sari-kacang-hijau/100ml,ABC,Sari Kacang Hijau,100 ml,40_kkal,"0,00g",0,0,0,"1,00g",0,"2,5g","7,50g",18mg,0,0,0
1715569705-28,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-terasi/1-porsi,ABC,Sambal Terasi,1 porsi (10 g),20_kkal,"1,00g","1,000g",0,0,"1,00g",0,"1,0g","2,00g",170mg,0,0,0
1715569705-29,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sarden/1-porsi,ABC,Sarden,1 porsi (50 g),50_kkal,"1,00g","2,000g","0,000g",0,"9,00g",0,0,"2,00g",260mg,0,0,0
1715569705-30,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kopi-susu/1-sachet,ABC,Kopi Susu,1 sachet (31 g),130_kkal,"2,50g","2,000g",0,0,"1,00g",0,"2,0g","20,00g",15mg,0,0,0
1715569705-31,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-manis-pedas/1-sendok-makan,ABC,Kecap Manis Pedas,1 sendok makan (15 ml),45_kkal,"0,00g","0,000g",0,0,"0,00g",0,0,"8,00g",310mg,0,0,0
1715569705-32,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-extra-pedas/1-sachet,ABC,Sambal Extra Pedas,1 sachet (15 g),20_kkal,"0,00g",0,0,0,"0,00g",0,0,"3,00g",400mg,0,0,0
1715569705-33,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-asli-abc/1-takaran-saji,ABC,Sambal Asli ABC,1 takaran saji (15 g),15_kkal,"0,00g","0,000g",0,0,"0,00g",0,0,"3,00g",290mg,0,0,0
1715569705-34,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-manis/1-porsi,ABC,Kecap Manis,1 sdm (15 ml),40_kkal,"0,00g","0,100g","0,000g",0,"0,00g",0,"0,0g","8,00g",280mg,0mg,0,0
1715569705-35,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/orange-juice/100ml,ABC,Orange Juice,100 ml,120_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,0,"22,00g",40mg,0,0,0
1715569705-36,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mi-instan-rasa-ayam-bawang/1-bungkus,ABC,Mi Instan Rasa Ayam Bawang,1 bungkus (65 g),300_kkal,"13,00g","6,000g","0,000g",0,"6,00g",0,0,"1,00g",1320mg,0,0,0
1715569705-37,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kopi-susu-gula-aren/1-takaran-saji,ABC,Kopi Susu Gula Aren,1 takaran saji (27 g),120_kkal,"3,00g","3,000g",0,0,"1,00g",0,"1,0g","17,00g",10mg,0,0,0
1715569705-38,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-manis-rasa-daging-asap/1-takaran-saji,ABC,Kecap Manis Rasa Daging Asap,1 takaran saji (15 g),35_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","6,00g",0,190mg,0,0
1715569705-39,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-ekstra-pedas/100g,ABC,Sardines Ekstra Pedas,100 g,100_kkal,"2,00g","0,000g","0,000g",0,"18,00g",0,0,"4,00g",520mg,0,0,0
1715569705-40,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-saus-ekstra-pedas/1-kaleng,ABC,Sardines Saus Ekstra Pedas,1 kaleng (50 g),50_kkal,"1,00g",0,0,0,"9,00g",0,0,"2,00g",260mg,0,0,0
1715569705-41,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/squash-delight-anggur/1-takaran-saji,ABC,Squash Delight Anggur,1 takaran saji  (29 ml),40_kkal,"0,00g",0,0,0,"0,00g",0,0,"9,00g",0,0,0,0
1715569705-42,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kopi-plus-gula/1-bungkus,ABC,Kopi Plus Gula,1 bungkus (18 g),70_kkal,"0,00g","0,000g","0,000g",0,"1,00g",0,"1,0g","13,00g",0mg,0,0,0
1715569705-43,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kopi-klepon/1-bungkus,ABC,Kopi Klepon,1 bungkus (25 g),110_kkal,"3,50g","3,500g",0,0,"1,00g",0,"1,0g","15,00g",15mg,0,0,0
1715569705-44,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/saus-tiram/1-porsi,ABC,Saus Tiram,1 sendok makan (20 g),9_kkal,"0,04g",0,0,0,"0,24g",0,0,0,750mg,0,0,0
1715569705-45,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-nusantara-hijau/1-serving,ABC,Sambal Nusantara Hijau,1 serving (18 g),25_kkal,"1,00g","0,000g",0,0,"0,00g",0,0,"2,00g",240mg,0,0,0
1715569705-46,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/selera-pedas-mie-instan-goreng-pedas-nampol-rasa-sapi-pedas/1-bungkus,ABC,Selera Pedas Mie Instan Goreng Pedas Nampol Rasa Sapi Pedas,1 bungkus (80 g),400_kkal,"21,00g","11,000g",0,0,"8,00g",0,"6,0g","3,00g",1230mg,0,0,0
1715569705-47,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/homestyle-sambal-terasi/1-porsi,ABC,Homestyle Sambal Terasi,1 sajian kemasan (18 g),50_kkal,"1,50g","1,000g",0,0,"1,00g",0,0,"6,00g",420mg,0,0,0
1715569705-48,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minyak-wijen/1-sdt,ABC,Minyak Wijen,1 sdt,40_kkal,"4,50g","0,640g",0,0,"0,00g",0,"0,0g","0,00g",0mg,0mg,0,0
1715569705-49,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/choco-malt-coffee/1-botol,ABC,Choco Malt Coffee,1 botol (200 ml),130_kkal,"2,50g","2,500g",0,0,"1,00g",0,"4,0g","16,00g",45mg,0,0,0
1715569705-50,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/squash-delight-leci/1-porsi,ABC,Squash Delight Leci,1 porsi (29 ml),40_kkal,"0,00g","0,000g",0,0,"0,00g",0,0,"10,00g",10mg,0,0,0
1715569705-51,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-nusantara-geprek/1-sajian,ABC,Sambal Nusantara Geprek,1 sajian (18 g),25_kkal,"1,50g","0,500g",0,0,"1,00g",0,0,"1,00g",360mg,0,0,0
1715569705-52,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kopi-mocca/1-porsi,ABC,Kopi Mocca,1 porsi (27 g),120_kkal,"2,50g","2,000g","0,000g",0,"1,00g",0,"2,0g","17,00g",20mg,0mg,0,0
1715569705-53,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/soy-bean-drink/1-pak,ABC,Soy Bean Drink,1 pak (200 ml),100_kkal,"1,50g",0,0,0,"5,00g",0,0,"8,00g",150mg,0,0,0
1715569705-54,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sekoteng/1-cangkir,ABC,Sekoteng,1 cangkir (30 g),120_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","27,00g",0mg,0mg,0,0
1715569705-55,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minuman-sari-kacang-hijau/1-bungkus,ABC,Minuman Sari Kacang Hijau,1 bungkus (250 ml),80_kkal,"0,00g","0,000g","0,000g",0,"2,00g",0,"5,0g","15,00g",35mg,0,0,0
1715569705-56,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/saus-tomat/1-porsi,ABC,Saus Tomat,1 sendok (17 g),20_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,0,"4,00g",150mg,0,0,0
1715569705-57,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/terasi/100g,ABC,Terasi,100 g,155_kkal,"2,90g","0,000g","0,000g",0,"22,30g",0,"0,0g","0,00g",0mg,0mg,0,0
1715569705-58,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-bumbu-serundeng/1-porsi,ABC,Sardines Bumbu Serundeng,1 porsi (30 g),30_kkal,"1,50g","1,000g","0,000g",0,"4,00g",0,0,"0,00g",240mg,0,0,0
1715569705-59,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minuman-soya-creamy-chocolate/1-serving,ABC,Minuman Soya Creamy Chocolate,1 serving  (200 ml),100_kkal,"1,50g",0,0,0,"5,00g",0,0,"8,00g",150mg,0,0,0
1715569705-60,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-pedas/1-porsi,ABC,Kecap Pedas,1 porsi (15 ml),35_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,0,"6,00g",340mg,0,0,0
1715569705-61,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mie-goreng-selera-pedas-spicy-mayo-cheese/1-bungkus,ABC,Mie Goreng Selera Pedas Spicy Mayo Cheese,1 bungkus (85 g),370_kkal,"13,00g","5,000g","0,000g",0,"8,00g",0,"5,0g","5,00g",880mg,100mg,0,0
1715569705-62,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/guava-juice/1-pak,ABC,Guava Juice,1 pak (250 ml),120_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","28,00g",40mg,0mg,0,0
1715569705-63,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-in-chilli-sauce/1-porsi,ABC,Sardines In Chilli Sauce,1 porsi (50 g),60_kkal,"1,00g",0,0,0,"10,00g",0,0,"1,00g",200mg,0,0,0
1715569705-64,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/white-coffee/1-porsi,ABC,White Coffee,1 porsi (20 g),90_kkal,"2,00g","1,500g",0,0,"1,00g",0,"2,0g","12,00g",10mg,0,0,0
1715569705-65,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/squash-delight/1-porsi,ABC,Squash Delight,1 porsi (29 g),40_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,"0,0g","9,00g",70mg,0mg,0,0
1715569705-66,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-siap-goreng-bumbu-serundeng/1-porsi,ABC,Sardines Siap Goreng Bumbu Serundeng,1 porsi (30 g),30_kkal,"1,50g","1,000g","0,000g",0,"4,00g",0,0,"0,00g",240mg,0,0,0
1715569705-67,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-extra-pedas/1-porsi,ABC,Kecap Extra Pedas,1 porsi (19 g),45_kkal,"0,00g","0,000g",0,0,"0,00g",0,0,"7,00g",300mg,0,0,0
1715569705-68,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kecap-manis-rasa-seafood/1-porsi,ABC,Kecap Manis Rasa Seafood,1 porsi (15 g),45_kkal,"0,00g","0,000g",0,0,"0,00g",0,0,"8,00g",310mg,0,0,0
1715569705-69,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/selera-pedas-rasa-sup-tomat-pedas/1-porsi,ABC,Selera Pedas Rasa Sup Tomat Pedas,1 porsi (70 g),320_kkal,"13,00g","6,000g",0,0,"7,00g",0,"2,0g","1,00g",1290mg,0,0,0
1715569705-70,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-nusantara-rendang/1-porsi,ABC,Sambal Nusantara Rendang,1 porsi (18 g),45_kkal,"1,50g","0,000g","1,000g",0,"1,00g",0,0,"3,00g",320mg,0mg,0,0
1715569705-71,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mung-bean-drink/1-pak,ABC,Mung Bean Drink,1 pak (200 ml),80_kkal,"0,00g",0,0,0,"2,00g",0,"5,0g","15,00g",35mg,0,0,0
1715569705-72,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-extra-pedas/1cup-small,ABC,Sardines Extra Pedas,1 small cup (50 g),70_kkal,"1,00g","0,500g","0,000g",0,"11,00g",0,0,"3,00g",300mg,0,0,0
1715569705-73,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mie-instan-cup-kari-ayam/1-bungkus,ABC,Mie Instan Cup Kari Ayam,1 bungkus (60 g),280_kkal,"13,00g","6,000g",0,0,"7,00g",0,"5,0g","1,00g",1090mg,0,0,0
1715569705-74,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-nusantara-teri/1-sachet,ABC,Sambal Nusantara Teri,1 sachet (18 g),35_kkal,"1,00g","0,000g",0,0,"1,00g",0,0,"4,00g",240mg,0,0,0
1715569705-75,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/selera-pedas-spicy-garlic-butter-cheese/1-porsi,ABC,Selera Pedas Spicy Garlic Butter Cheese,1 porsi (80 g),360_kkal,"15,00g","7,000g",0,0,"8,00g",0,"6,0g","4,00g",1220mg,0,0,0
1715569705-76,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/exo-milk-coffee/1-porsi,ABC,EXO Milk Coffee,1 porsi (230 ml),160_kkal,"3,50g","3,500g","0,000g",0,"8,00g",0,"2,0g","22,00g",80mg,320mg,0,0
1715569705-77,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minuman-soya-strawberry-delight/1-sajian,ABC,Minuman Soya Strawberry Delight,1 sajian (200 ml),100_kkal,"2,00g",0,0,0,"5,00g",0,0,"7,00g",140mg,0,0,0
1715569705-78,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/soursop/1,ABC,Soursop,1 (250 ml),130_kkal,"0,00g","0,000g","0,000g",0,"0,00g",0,0,"0,40g",0mg,0mg,0,0
1715569705-79,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mango-juice/1-porsi,ABC,Mango Juice,1 gelas (250 ml),130_kkal,"0,00g",0,0,0,"0,00g",0,0,"24,00g",30mg,0,0,0
1715569705-80,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/minuman-sari-kedelai/1-kotak,ABC,Minuman Sari Kedelai,1 gelas (200 ml),90_kkal,"2,50g",0,0,0,"4,00g",0,0,"9,00g",55mg,0,0,0
1715569705-81,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/kopi-susu/1-porsi,ABC,Kopi Susu,1 botol kecil (200 ml),120_kkal,"2,50g","2,500g",0,0,"1,00g",0,"4,0g","14,00g",150mg,0,0,0
1715569705-82,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sari-kacang-hijau/1-gelas,ABC,Sari Kacang Hijau,1 bungkus (200 ml),80_kkal,"0,00g","0,000g","0,000g",0,"2,00g",0,"5,0g","15,00g",65mg,0mg,0,0
1715569705-83,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sambal-nusantara-terasi-khas-jawa-barat/1-sachet,ABC,Sambal Nusantara Terasi Khas Jawa Barat,1 sachet (18 g),45_kkal,"1,50g","0,500g",0,0,"1,00g",0,0,"5,00g",420mg,0,0,0
1715569705-84,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mackerel/1-porsi,ABC,Mackerel,1 porsi (70 g),60_kkal,"1,50g","1,000g","0,000g",0,"9,00g",0,0,"0,00g",0,0,0,0
1715569705-85,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mie-instan-selera-pedas-rasa-gulai-ayam-pedas/1-porsi,ABC,Mie Instan Selera Pedas Rasa Gulai Ayam Pedas,1 bungkus (70 g),330_kkal,"16,00g","7,000g","0,000g",0,"6,00g",0,"3,0g","4,00g",1460mg,0,0,0
1715569705-86,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-dalam-saus-extra-pedas/1-porsi,ABC,Sardines Dalam Saus Extra Pedas,1 porsi (50 g),50_kkal,"1,00g","1,500g",0,0,"9,00g",0,0,"2,00g",260mg,0,0,0
1715569705-87,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/mie-selera-pedas-rasa-ayam-pedas-limau/1-bungkus,ABC,Mie Selera Pedas Rasa Ayam Pedas Limau,1 bungkus (85 g),390_kkal,"14,00g","7,000g",0,0,"8,00g",0,0,"4,00g",640mg,0,0,0
1715569705-88,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/sardines-dalam-saus-cabai/1-takaran,ABC,Sardines dalam Saus Cabai,1 takaran (50 g),90_kkal,"4,50g","2,000g","0,000g",0,"12,00g",0,0,"1,00g",120mg,0,0,0
1715569705-89,https://www.fatsecret.co.id/kalori-gizi/search?q=ABC,https://www.fatsecret.co.id/kalori-gizi/abc/selera-pedas-rasa-saus-kacang-pedas/1-pack,ABC,Selera Pedas Rasa Saus Kacang Pedas,1 pack (80 g),380_kkal,"17,00g","8,000g",0,0,"9,00g",0,"3,0g","3,00g",920mg,0,0,0
