scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-3610,https://www.fatsecret.co.id/kalori-gizi/search?q=Kartika Toast,https://www.fatsecret.co.id/kalori-gizi/kartika-toast/puffies/1-buah,Kartika Toast,Puffies,"1 buah (2,55 g)",15_kkal,"1,00g","0,000g",0,0,"0,00g",0,0,"1,00g",5mg,0,0,0
1715569705-3611,https://www.fatsecret.co.id/kalori-gizi/search?q=Kartika Toast,https://www.fatsecret.co.id/kalori-gizi/kartika-toast/soesnack-crispy-puff/1-potong,Kartika Toast,Soesnack Crispy Puff,"1 potong (2,55 g)",15_kkal,"1,00g","0,000g",0,0,"0,00g",0,"0,0g","1,00g",10mg,0,0,0
1715569705-3612,https://www.fatsecret.co.id/kalori-gizi/search?q=Kartika Toast,https://www.fatsecret.co.id/kalori-gizi/kartika-toast/toast-bread/1-pack,Kartika Toast,Toast Bread,"1 pack (7,12 g)",35_kkal,"1,50g","1,000g",0,0,"1,00g",0,"0,0g","1,00g",35mg,0,0,0
1715569705-3613,https://www.fatsecret.co.id/kalori-gizi/search?q=Kata Oma ,https://www.fatsecret.co.id/kalori-gizi/kata-oma/telur-gabus-keju/1-porsi,Kata Oma ,Telur Gabus Keju,1 porsi (20 g),120_kkal,"9,00g",0,0,0,"1,00g",0,0,"4,00g",35mg,0,0,0
1715569705-3614,https://www.fatsecret.co.id/kalori-gizi/search?q=Kata Oma ,https://www.fatsecret.co.id/kalori-gizi/kata-oma/telur-gabus-rasa-balado-padang/1-porsi,Kata Oma ,Telur Gabus Rasa Balado Padang,1 porsi (20 g),110_kkal,"9,00g","3,300g",0,0,"1,00g",0,0,"4,00g",50mg,0,0,0
1715569705-3615,https://www.fatsecret.co.id/kalori-gizi/search?q=Kata Oma ,https://www.fatsecret.co.id/kalori-gizi/kata-oma/telur-gabus-gula-aren/1-porsi,Kata Oma ,Telur Gabus Gula Aren,1 porsi (20 g),110_kkal,"7,00g",0,0,0,"1,00g",0,0,"4,00g",35mg,0,0,0
1715569705-3616,https://www.fatsecret.co.id/kalori-gizi/search?q=Kata Oma ,https://www.fatsecret.co.id/kalori-gizi/kata-oma/telur-gabus-rasa-gula-aren/1-porsi,Kata Oma ,Telur Gabus Rasa Gula Aren,1 takaran saji (20 g),110_kkal,"7,00g",0,0,0,"1,00g",0,0,"4,00g",35mg,0,0,0
1715569705-3617,https://www.fatsecret.co.id/kalori-gizi/search?q=Kata Oma ,https://www.fatsecret.co.id/kalori-gizi/kata-oma/telur-gabus-rasa-keju-cheddar-inggris/1-porsi,Kata Oma ,Telur Gabus Rasa Keju Cheddar Inggris,1 porsi (22 g),180_kkal,"10,00g",0,0,0,"1,00g",0,0,"4,00g",37mg,0,0,0
1715569705-3618,https://www.fatsecret.co.id/kalori-gizi/search?q=Kata Oma ,https://www.fatsecret.co.id/kalori-gizi/kata-oma/telur-gabus-rasa-telur-asin/1-porsi,Kata Oma ,Telur Gabus Rasa Telur Asin,1 porsi (20 g),120_kkal,"10,00g",0,0,0,"1,00g",0,0,"0,00g",150mg,0,0,0
1715569705-3619,https://www.fatsecret.co.id/kalori-gizi/search?q=Kawan,https://www.fatsecret.co.id/kalori-gizi/kawan/roti-wraps/1-piece,Kawan,Roti Wraps,1 piece (60 g),210_kkal,"7,00g","4,000g",0,0,"4,00g",0,"2,0g","3,00g",270mg,0mg,0,0
1715569705-3620,https://www.fatsecret.co.id/kalori-gizi/search?q=Kawan,https://www.fatsecret.co.id/kalori-gizi/kawan/paratha/1-piece,Kawan,Paratha,1 piece (80 g),290_kkal,"14,00g",0,0,0,"5,00g",0,0,0,270mg,0,0,0
1715569705-3621,https://www.fatsecret.co.id/kalori-gizi/search?q=Kawan,https://www.fatsecret.co.id/kalori-gizi/kawan/puff-pastry-square/1-piece,Kawan,Puff Pastry Square,1 piece (40 g),180_kkal,"9,00g","5,000g",0,0,"3,00g",0,"1,0g","1,00g",115mg,0,0,0
1715569705-3622,https://www.fatsecret.co.id/kalori-gizi/search?q=Kawan,https://www.fatsecret.co.id/kalori-gizi/kawan/malaysian-roti-chanai/1-piece,Kawan,Malaysian Roti Chanai,1 piece (60 g),200_kkal,"8,00g","7,000g","0,000g",0,"4,00g",0,"1,0g","4,00g",1mg,60mg,0,0
1715569705-3623,https://www.fatsecret.co.id/kalori-gizi/search?q=KayaKing,https://www.fatsecret.co.id/kalori-gizi/kayaking/honey-roasted-peanuts/1-pack,KayaKing,Honey Roasted Peanuts,1 pack (20 g),110_kkal,"8,00g","1,500g",0,0,"4,00g",0,"1,0g","4,00g",0,0,0,0
1715569705-3624,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/frosties/1-porsi,Kellogg's,Frosties,1 porsi (30 g),120_kkal,"0,00g","0,000g","0,000g",0,"2,00g",0,"1,0g","9,00g",150mg,0,0,0
1715569705-3625,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/all-bran-original/1-porsi,Kellogg's,All Bran Original,1 porsi (45 g),170_kkal,"2,00g",0,0,0,"7,00g",0,"12,0g","8,00g",170mg,0,0,0
1715569705-3626,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/mueslix-harvest-fruit/1-porsi,Kellogg's,Mueslix Harvest Fruit,1 porsi (45 g),180_kkal,"3,50g","0,500g","0,000g",0,"5,00g",0,"3,0g","9,00g",35mg,0,0,0
1715569705-3627,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/nutri-grain/1-cup,Kellogg's,Nutri Grain,1 cup (40 g),148_kkal,"0,20g","0,100g",0,0,"8,50g",0,0,"10,70g",144mg,0,0,0
1715569705-3628,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/pop-tarts-frosted-strawberry/1-serving,Kellogg's,Pop Tarts Frosted Strawberry,1 serving (96 g),370_kkal,"9,00g","3,000g","0,000g",0,"3,00g",0,"1,0g","30,00g",320mg,0,0,0
1715569705-3629,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/special-k-original/1-porsi,Kellogg's,Special K Original,1 porsi (45 g),170_kkal,"0,50g","0,500g","0,000g",0,"4,00g",0,"7,0g","8,00g",200mg,0,0,0
1715569705-3630,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/apple-jacks/1-porsi,Kellogg's,Apple Jacks,1 porsi (42 g),160_kkal,"1,50g","1,000g",0,0,"2,00g",0,"2,0g","14,00g",220mg,0,0,0
