fat,sugar,sodium,grade
2.5,17.0,0.02,C
1.5,8.0,0.15,D
0.0,27.0,0.0,D
0.0,15.0,0.035,C
0.0,4.0,0.15,A
2.9,0.0,0.0,A
1.5,0.0,0.24,A
1.5,8.0,0.15,D
0.0,6.0,0.34,D
13.0,5.0,0.88,D
0.0,28.0,0.04,D
1.0,1.0,0.2,A
2.0,12.0,0.01,D
0.0,9.0,0.07,D
1.5,0.0,0.24,A
0.0,7.0,0.3,D
0.0,8.0,0.31,D
13.0,1.0,1.29,C
1.5,3.0,0.32,A
0.0,15.0,0.035,C
1.0,3.0,0.3,A
13.0,1.0,1.09,D
1.0,4.0,0.24,A
15.0,4.0,1.22,D
3.5,22.0,0.08,C
2.0,7.0,0.14,D
0.0,0.4,0.0,A
0.0,24.0,0.03,C
2.5,9.0,0.055,D
2.5,14.0,0.15,C
0.0,15.0,0.065,C
1.5,5.0,0.42,A
1.5,0.0,0.0,A
16.0,4.0,1.46,C
1.0,2.0,0.26,A
14.0,4.0,0.64,D
4.5,1.0,0.12,A
17.0,3.0,0.92,C
2.5,17.0,0.02,C
14.0,4.0,0.64,D
13.0,3.0,1.34,C
0.0,19.0,0.06,C
4.5,21.0,0.065,C
0.0,17.0,0.0,C
0.0,28.0,0.115,D
1.5,18.0,0.2,C
0.0,2.0,0.18,A
0.0,20.0,0.0,C
0.5,1.0,0.095,A
2.0,2.0,0.14,A
2.0,2.0,0.17,A
1.0,2.0,0.13,A
4.5,6.0,0.16,D
2.5,0.0,0.28,A
5.0,8.0,0.17,D
1.92,0.9,0.0,A
17.0,15.0,0.01,C
12.0,9.0,0.0,D
2.0,3.0,0.1,A
8.0,0.0,0.27,D
8.0,0.0,0.27,D
5.0,4.0,0.0,A
7.0,9.0,0.08,D
4.0,7.0,0.1,D
3.0,10.0,0.035,D
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
20.0,0.0,0.0,C
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
2.0,0.0,0.0,A
2.5,10.0,0.0,D
4.5,9.0,0.66,D
0.0,0.0,0.0,A
1.5,2.0,0.0,A
1.0,0.0,0.0,A
1.0,4.0,0.48,A
0.0,4.0,0.105,A
1.5,2.0,0.0,A
0.0,0.0,0.0,A
0.0,8.0,0.0,D
0.0,25.0,0.15,C
0.0,26.0,0.13,D
0.0,14.0,0.0,C
0.0,35.0,32.0,D
0.0,15.0,0.035,C
0.0,26.0,0.125,D
0.0,14.0,0.08,C
0.0,14.0,0.065,C
0.0,3.0,0.0,A
0.0,2.0,0.0,A
5.0,4.0,0.05,A
8.0,8.0,70.0,D
5.0,6.0,0.015,D
5.0,11.0,0.035,D
6.0,6.0,0.035,D
1.0,5.0,0.01,A
7.0,17.0,0.02,C
4.0,9.0,0.02,D
1.0,5.0,0.01,A
1.5,6.0,0.005,D
6.0,11.0,0.0,D
2.0,4.0,0.01,A
1.0,9.0,0.0,D
8.0,14.0,0.05,C
2.0,5.0,0.015,A
9.0,10.0,0.035,D
9.0,15.0,0.03,C
2.0,6.0,0.01,D
12.0,11.0,0.015,D
16.0,12.0,0.03,D
3.0,6.0,0.0,D
2.5,8.0,0.02,D
3.0,6.0,0.01,D
12.0,11.0,0.035,D
2.0,6.0,0.01,D
3.5,10.0,0.0,D
11.0,9.0,0.01,D
0.0,5.0,0.005,A
1.0,9.0,0.0,D
3.5,8.0,0.01,D
2.5,8.0,0.01,D
0.5,3.0,0.01,A
10.0,12.0,0.02,D
5.0,5.0,0.005,A
2.0,5.0,0.01,A
0.0,4.0,0.0,A
6.0,14.0,0.02,C
9.0,4.0,0.0,D
13.0,12.0,0.03,D
4.0,8.0,0.04,D
3.5,10.0,0.08,D
13.0,13.0,0.015,C
0.0,10.0,0.0,D
3.5,19.0,0.035,C
18.0,11.0,0.03,C
2.5,8.0,0.01,D
4.5,5.0,0.01,A
0.0,6.0,0.0,D
2.5,7.0,0.02,D
0.5,6.0,0.01,D
2.0,6.0,0.015,D
0.0,14.0,0.0,C
2.0,5.0,0.01,A
1.0,7.0,0.01,D
10.0,16.0,0.64,C
1.5,7.0,0.015,D
4.5,7.0,0.02,D
0.0,5.0,0.005,A
10.0,9.0,0.02,D
16.0,12.0,0.02,D
10.0,16.0,0.03,C
0.0,14.0,0.035,C
3.5,4.0,0.011,A
2.0,7.0,0.015,D
3.0,3.0,0.005,A
6.0,9.0,0.02,D
0.0,6.0,0.0,D
8.0,14.0,0.025,C
35.0,10.0,0.02,D
0.5,11.0,0.01,D
1.0,6.0,0.01,D
0.0,12.0,0.0,D
3.0,6.0,0.025,D
7.0,10.0,0.025,D
10.0,13.0,0.015,C
7.0,7.0,0.01,D
3.0,8.0,0.005,D
8.0,8.0,0.055,D
0.0,10.0,0.0,D
2.5,9.0,0.025,D
8.0,6.0,0.01,D
2.0,5.0,0.01,A
2.0,5.0,0.016,A
2.5,9.0,0.005,D
10.0,13.0,0.01,C
1.0,6.0,0.005,D
3.5,4.0,0.005,A
3.5,8.0,0.025,D
2.0,7.0,0.015,D
4.5,5.0,0.01,A
1.0,5.0,0.01,A
4.5,10.0,0.025,D
4.5,10.0,0.025,D
4.0,12.0,0.01,D
6.0,11.0,0.025,D
0.0,15.0,0.01,C
1.0,7.0,0.015,D
0.5,13.0,0.0,C
2.0,6.0,0.01,D
3.5,9.0,0.02,D
1.5,4.0,0.01,A
1.0,5.0,0.0,A
6.0,9.0,0.02,D
3.5,7.0,0.015,D
5.0,5.0,0.01,A
4.0,5.0,0.01,A
0.5,3.0,0.01,A
3.0,14.0,0.035,C
6.0,24.0,0.08,C
6.0,22.0,0.125,C
3.0,12.0,0.0,D
4.0,1.0,0.115,A
4.5,1.0,0.07,A
3.0,5.0,0.055,A
1.0,0.0,0.05,A
3.5,2.0,0.055,A
6.0,5.0,0.26,A
1.0,0.0,0.035,A
3.0,3.0,0.0,A
8.0,11.0,0.15,D
8.0,5.0,0.045,D
9.0,4.0,0.17,D
4.0,1.0,0.16,A
3.5,1.0,0.11,A
15.0,4.0,1.09,D
0.0,1.0,0.36,A
4.5,2.0,0.0,A
0.0,0.0,0.36,A
10.0,3.0,0.28,D
0.0,2.0,0.61,D
0.0,1.0,0.56,D
3.5,0.0,0.43,A
2.0,15.0,0.0,C
2.5,14.0,0.06,C
15.0,4.0,1.09,D
2.5,16.0,0.125,C
14.0,5.0,0.97,D
19.0,0.0,0.61,C
4.2,4.4,0.023,A
3.5,1.0,0.05,A
3.5,1.0,0.045,A
2.5,2.0,0.015,A
3.0,3.0,0.005,A
4.5,1.0,0.025,A
13.5,3.0,0.075,D
1.0,16.0,0.01,C
2.0,1.0,0.0,A
0.0,1.0,0.0,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
11.0,1.0,0.16,D
0.15,6.2,0.001,D
4.0,21.0,0.015,C
0.89,0.35,0.301,A
7.0,11.0,0.0,D
10.0,12.0,0.18,D
3.5,10.0,0.02,D
0.0,0.0,0.33,A
10.0,12.0,0.18,D
7.6,0.0,0.0,D
10.0,12.0,0.18,D
15.0,0.0,0.12,D
7.0,11.0,0.0,D
7.0,0.0,0.0,D
6.53,0.0,0.0,A
7.0,0.0,0.15,D
0.0,2.0,0.0,A
0.0,5.0,0.0,A
0.0,2.0,0.0,A
0.0,5.0,0.025,A
0.0,4.0,0.02,A
0.0,71.0,0.0,D
1.0,5.0,0.005,A
1.0,5.0,0.005,A
7.0,0.0,0.08,D
19.0,25.0,0.105,C
5.3,0.5,0.006,A
4.0,0.0,0.27,A
81.4,0.6,0.6,D
12.0,0.0,0.0,D
4.5,12.0,0.064,D
35.5,3.1,0.027,D
3.5,14.0,0.05,C
34.2,2.0,0.284,D
3.5,0.0,0.2,A
3.0,1.0,0.01,A
3.0,18.0,0.0,C
5.5,0.0,0.132,A
4.5,0.0,0.2,A
4.0,20.0,0.08,C
8.0,11.0,0.0,D
5.0,6.0,0.09,D
6.0,8.0,0.1,D
0.0,28.0,0.01,D
1.5,16.0,0.035,C
0.0,27.0,0.04,D
0.0,11.0,0.05,D
1.0,16.0,0.1,C
5.0,20.0,0.0,C
3.5,10.0,0.055,D
0.5,7.1,0.0,D
2.0,8.0,0.0,D
0.5,16.0,0.0,C
3.5,14.0,0.0,C
3.0,17.0,0.145,C
0.5,14.0,0.085,C
1.0,14.0,0.0,C
2.0,10.0,0.06,D
2.0,10.0,0.03,D
3.0,16.0,0.11,C
0.5,16.0,0.0,C
4.5,16.0,0.0,C
2.5,21.0,0.0,C
0.0,4.0,0.0,A
0.0,1.0,0.065,A
0.0,1.0,0.32,A
0.0,2.0,0.23,A
0.0,1.0,0.2,A
5.0,6.0,0.12,D
7.0,7.0,0.16,D
5.0,6.0,0.12,D
6.0,6.0,0.0,D
6.0,5.0,0.095,A
10.0,10.0,0.16,D
5.0,6.0,0.12,D
13.0,10.0,0.135,D
6.0,6.0,0.115,D
11.0,8.0,0.18,D
6.0,6.0,0.095,D
6.0,5.0,0.0,A
6.0,5.0,0.095,A
12.0,11.0,0.17,D
4.5,6.0,0.025,D
2.1,4.4,0.006,A
3.3,4.2,0.009,A
5.2,4.7,0.018,A
4.0,5.0,0.0,A
3.0,4.0,0.004,A
1.5,2.0,0.0,A
4.5,6.0,0.025,D
6.5,8.8,0.029,D
8.0,12.0,0.015,D
7.8,10.5,0.034,D
10.0,16.0,0.03,C
16.0,14.0,0.025,C
3.5,5.0,0.02,A
22.0,19.0,0.045,C
3.5,4.0,0.005,A
4.0,5.0,0.045,A
5.0,17.0,0.0,C
0.0,13.0,0.0,C
0.0,0.0,0.0,A
23.0,0.0,1.86,C
19.0,10.0,1.41,C
7.0,5.0,0.71,D
16.0,2.0,1.19,D
22.0,0.0,2.68,D
24.0,0.0,3.26,D
16.0,4.0,2.06,C
7.0,2.0,1.44,C
5.0,2.0,1.31,C
19.0,14.0,1.14,C
24.0,15.0,1.27,C
3.0,3.0,0.13,A
6.0,0.0,0.0,A
4.0,0.0,0.0,A
25.0,0.0,0.0,C
3.9,0.118,0.0,A
22.0,0.51,0.0,C
4.5,0.0,0.155,A
6.0,9.0,0.0,D
20.0,0.0,0.005,C
4.0,6.0,0.075,D
6.0,10.0,0.105,D
7.0,12.0,0.18,D
3.0,2.0,0.085,A
9.0,6.0,0.15,D
7.0,13.0,0.25,C
6.0,7.0,0.18,D
4.5,6.0,0.17,D
3.5,6.0,0.08,D
6.2,10.5,0.032,D
3.0,4.0,0.1,A
7.0,0.0,0.0,D
2.0,1.0,0.0,A
4.5,6.0,0.055,D
22.0,27.0,0.487,D
2.0,4.0,0.005,A
4.0,5.0,0.065,A
3.5,6.0,0.04,D
3.5,4.0,0.08,A
4.0,5.0,0.085,A
7.0,12.0,0.069,D
4.0,5.0,0.01,A
8.0,10.0,0.06,D
5.0,7.0,0.09,D
5.0,7.0,0.18,D
6.0,11.0,0.065,D
6.0,10.0,0.115,D
4.0,6.0,0.0,D
1.5,0.0,1.11,D
2.0,0.0,0.48,A
1.5,0.0,0.92,D
7.0,0.0,0.27,D
16.0,0.0,0.62,D
8.0,0.0,0.5,D
8.0,0.0,0.59,D
11.0,0.0,0.0,D
2.5,2.0,0.13,A
2.0,4.0,0.095,A
3.0,6.0,0.085,D
6.0,0.0,0.23,A
4.5,9.0,0.1,D
4.5,9.0,0.1,D
0.0,0.0,0.38,A
8.0,0.0,0.02,D
1.0,0.0,0.0,A
16.0,0.0,0.47,D
22.0,0.0,0.63,C
1.0,0.0,0.015,A
0.0,4.0,0.04,A
0.5,1.0,0.01,A
0.0,6.0,0.015,D
1.5,10.0,0.26,D
3.5,6.0,0.53,D
1.0,5.0,0.74,D
1.0,3.0,0.3,A
0.0,2.0,0.46,A
1.0,0.0,0.015,A
6.0,7.0,0.1,D
1.0,3.0,0.3,A
1.0,1.0,0.35,A
0.0,4.0,0.44,A
0.5,2.0,0.47,A
2.5,4.0,0.35,A
7.0,7.0,0.08,D
19.0,0.0,0.0,C
1.5,0.0,0.0,A
1.5,0.0,0.19,A
5.0,3.0,0.055,A
5.0,10.0,0.025,D
3.5,9.0,0.035,D
5.0,7.0,0.055,D
4.5,12.0,0.05,D
3.5,7.0,0.055,D
2.5,2.0,0.115,A
1.5,7.0,0.0,D
0.0,0.0,0.0,A
9.0,0.0,0.0,D
0.0,0.0,0.0,A
5.0,10.0,0.99,D
5.0,10.0,0.99,D
1.8,0.0,0.0,A
2.3,0.4,0.07,A
5.0,0.5,0.111,A
5.2,3.0,0.095,A
0.5,3.1,0.068,A
5.5,1.0,0.175,A
2.1,1.2,0.038,A
11.0,0.0,0.17,D
3.0,0.0,0.0,A
0.0,5.0,0.2,A
0.4,7.0,0.37,D
6.0,0.0,0.15,A
5.0,0.0,0.13,A
0.0,0.0,0.31,A
9.0,0.0,0.22,D
2.5,2.0,0.21,A
0.0,0.0,0.4,A
0.0,0.0,0.09,A
3.5,0.0,0.095,A
11.0,1.0,0.39,D
1.0,6.0,0.22,D
1.0,0.0,0.2,A
0.0,2.0,0.18,A
1.0,0.0,0.2,A
13.0,5.0,0.51,D
5.0,4.0,0.49,A
17.99,0.0,0.0,C
0.0,0.0,0.135,A
2.5,2.0,0.21,A
14.55,0.0,0.0,D
0.5,8.0,0.47,D
2.0,0.0,0.13,A
14.0,0.0,0.35,D
8.0,0.0,0.24,D
8.0,1.0,0.22,D
5.0,2.0,0.2,A
4.5,2.0,0.16,A
8.0,0.0,0.24,D
5.0,2.0,0.15,A
3.0,1.0,0.06,A
5.0,0.0,0.125,A
3.0,6.0,0.03,D
6.0,9.0,0.32,D
0.5,1.0,0.15,A
6.0,2.0,0.22,A
2.0,2.0,0.17,A
6.0,4.0,0.22,A
16.0,16.0,0.53,C
0.0,0.0,0.16,A
2.0,1.0,0.18,A
1.0,0.0,0.148,A
0.0,0.0,0.17,A
0.0,0.0,0.05,A
8.0,39.0,0.21,D
5.0,0.0,0.15,A
5.7,0.5,0.124,A
2.7,0.0,0.0,A
5.5,0.0,0.0,A
5.0,0.0,0.0,A
16.15,0.0,0.0,D
10.0,3.0,1.11,D
2.0,0.0,0.005,A
9.5,0.0,0.0,D
15.0,0.0,0.0,D
19.5,0.0,0.0,C
28.0,4.0,0.0,C
21.0,0.0,0.0,C
12.0,1.0,0.53,D
9.0,0.0,0.0,D
1.98,0.0,0.0,A
9.0,13.0,0.11,C
15.0,6.0,0.15,D
9.0,13.0,0.11,C
15.0,7.0,0.09,D
0.0,0.0,0.0,A
0.0,0.0,0.01,A
2.0,4.0,0.109,A
0.0,0.0,0.0,A
0.0,0.0,0.0,A
2.5,3.8,0.01,A
1.0,2.0,0.005,A
1.3,1.9,0.018,A
1.0,2.0,0.005,A
1.0,2.0,0.005,A
3.0,4.0,0.08,A
4.0,1.0,0.4,A
1.0,6.0,1.03,D
1.0,1.0,0.55,D
3.0,1.0,0.48,A
0.5,1.0,0.73,D
1.5,4.0,0.68,D
0.0,6.0,0.04,D
1.0,1.0,0.73,D
1.5,2.0,0.41,A
1.5,3.0,0.67,D
1.0,1.0,0.34,A
1.0,1.0,0.44,A
1.5,6.0,0.75,D
0.0,3.0,0.05,A
0.0,3.0,0.05,A
3.0,2.0,1.21,D
1.0,4.0,0.6,D
1.5,9.0,0.59,D
1.0,0.0,1.3,C
2.5,2.0,0.19,A
4.5,1.0,0.41,A
1.0,1.0,0.36,A
1.0,0.0,0.62,D
1.5,1.0,1.02,D
3.0,0.0,0.4,A
1.0,0.0,0.98,D
0.0,14.0,0.22,C
2.5,1.0,1.1,D
0.5,5.0,1.19,D
1.0,4.0,0.49,A
2.0,6.0,0.92,D
0.5,0.0,0.72,D
5.0,5.0,0.44,A
1.0,4.0,0.88,D
1.0,1.0,0.78,D
4.5,8.0,0.095,D
4.0,4.0,0.08,A
1.5,2.0,0.93,D
1.5,4.0,0.8,D
2.0,0.0,0.6,D
2.0,1.0,0.66,D
0.0,8.0,0.14,D
0.0,8.0,0.63,D
0.0,8.0,0.28,D
1.0,2.0,0.3,A
2.0,3.0,0.43,A
0.0,13.0,0.4,C
2.0,1.0,0.72,D
0.5,0.0,0.18,A
13.0,0.0,0.0,D
13.0,0.0,0.0,D
100.0,0.0,0.015,D
13.0,0.0,0.0,D
2.0,3.0,0.015,A
1.5,2.0,0.02,A
2.0,2.0,0.02,A
14.92,3.54,0.152,D
2.98,0.0,0.1,A
13.0,7.0,0.14,D
13.0,7.0,0.14,D
5.3,0.6,0.275,A
4.5,0.0,0.13,A
34.7,0.9,0.65,D
4.2,0.5,0.233,A
4.3,0.6,0.245,A
8.0,1.0,0.55,D
8.0,0.0,0.3,D
6.0,3.0,0.56,D
7.0,0.0,0.0,D
14.0,0.0,0.72,D
9.0,0.0,0.86,D
2.0,0.0,0.27,A
7.0,0.0,0.53,D
19.0,0.0,0.46,C
7.0,1.0,0.25,D
28.0,0.0,0.62,C
5.0,0.0,0.0,A
19.0,0.0,0.46,C
9.0,0.0,0.52,D
1.5,0.0,0.52,D
14.0,0.0,0.72,D
9.0,1.0,0.45,D
6.0,0.0,0.76,D
3.0,0.0,0.65,D
4.5,0.0,0.61,D
5.0,2.0,0.33,A
7.0,1.0,0.28,D
7.0,0.0,0.19,D
14.0,0.0,0.75,D
14.0,0.0,0.63,D
12.0,0.0,0.42,D
8.0,0.0,0.3,D
9.0,7.0,0.025,D
11.0,14.0,0.043,C
4.0,6.0,0.035,D
10.0,10.0,0.04,D
10.0,11.0,0.07,D
5.0,6.0,0.04,D
11.0,12.0,0.13,D
3.5,5.0,0.02,A
4.5,22.0,0.025,C
12.0,12.0,0.065,D
8.0,12.0,0.055,D
9.0,0.0,0.0,D
12.0,0.0,0.0,D
12.0,0.0,0.0,D
11.0,0.0,0.0,D
11.0,0.0,0.0,D
6.0,0.0,0.0,A
16.0,0.0,0.0,D
12.0,0.0,0.0,D
20.0,0.0,0.0,C
12.0,0.0,0.0,D
13.0,0.0,0.0,D
11.0,0.0,0.0,D
3.0,5.0,0.0,A
6.0,10.0,0.0,D
1.5,0.0,0.0,A
3.5,7.0,0.0,D
13.0,8.0,0.06,D
